INFO     | 2019-02-27 17:09:54,363 | progress   | Finished subset 21/211, 9.95 percent done
INFO     | 2019-02-27 17:09:56,769 | progress   | Finished subset 22/211, 10.43 percent done
INFO     | 2019-02-27 17:09:59,375 | progress   | Finished subset 23/211, 10.90 percent done
INFO     | 2019-02-27 17:10:02,138 | progress   | Finished subset 24/211, 11.37 percent done
INFO     | 2019-02-27 17:10:04,651 | progress   | Finished subset 25/211, 11.85 percent done
INFO     | 2019-02-27 17:10:06,863 | progress   | Finished subset 26/211, 12.32 percent done
INFO     | 2019-02-27 17:10:11,191 | progress   | Finished subset 27/211, 12.80 percent done
INFO     | 2019-02-27 17:10:24,778 | progress   | Finished subset 28/211, 13.27 percent done
INFO     | 2019-02-27 17:10:27,895 | progress   | Finished subset 29/211, 13.74 percent done
INFO     | 2019-02-27 17:10:30,332 | progress   | Finished subset 30/211, 14.22 percent done
INFO     | 2019-02-27 17:10:32,222 | progress   | Finished subset 31/211, 14.69 percent done
INFO     | 2019-02-27 17:10:34,033 | progress   | Finished subset 32/211, 15.17 percent done
INFO     | 2019-02-27 17:10:36,131 | progress   | Finished subset 33/211, 15.64 percent done
INFO     | 2019-02-27 17:10:38,987 | progress   | Finished subset 34/211, 16.11 percent done
INFO     | 2019-02-27 17:10:40,479 | progress   | Finished subset 35/211, 16.59 percent done
INFO     | 2019-02-27 17:10:42,403 | progress   | Finished subset 36/211, 17.06 percent done
INFO     | 2019-02-27 17:10:44,610 | progress   | Finished subset 37/211, 17.54 percent done
INFO     | 2019-02-27 17:10:47,365 | progress   | Finished subset 38/211, 18.01 percent done
INFO     | 2019-02-27 17:10:49,853 | progress   | Finished subset 39/211, 18.48 percent done
INFO     | 2019-02-27 17:10:53,918 | progress   | Finished subset 40/211, 18.96 percent done
INFO     | 2019-02-27 17:11:03,947 | progress   | Finished subset 41/211, 19.43 percent done
INFO     | 2019-02-27 17:11:07,631 | progress   | Finished subset 42/211, 19.91 percent done
INFO     | 2019-02-27 17:11:09,742 | progress   | Finished subset 43/211, 20.38 percent done
INFO     | 2019-02-27 17:11:11,869 | progress   | Finished subset 44/211, 20.85 percent done
INFO     | 2019-02-27 17:11:14,040 | progress   | Finished subset 45/211, 21.33 percent done
INFO     | 2019-02-27 17:11:15,696 | progress   | Finished subset 46/211, 21.80 percent done
INFO     | 2019-02-27 17:11:17,951 | progress   | Finished subset 47/211, 22.27 percent done
INFO     | 2019-02-27 17:11:19,825 | progress   | Finished subset 48/211, 22.75 percent done
INFO     | 2019-02-27 17:11:22,244 | progress   | Finished subset 49/211, 23.22 percent done
INFO     | 2019-02-27 17:11:25,246 | progress   | Finished subset 50/211, 23.70 percent done
INFO     | 2019-02-27 17:11:30,657 | progress   | Finished subset 51/211, 24.17 percent done
INFO     | 2019-02-27 17:11:37,400 | progress   | Finished subset 52/211, 24.64 percent done
INFO     | 2019-02-27 17:11:50,092 | progress   | Finished subset 53/211, 25.12 percent done
INFO     | 2019-02-27 17:11:54,319 | progress   | Finished subset 54/211, 25.59 percent done
INFO     | 2019-02-27 17:11:55,262 | progress   | Finished subset 55/211, 26.07 percent done
INFO     | 2019-02-27 17:11:59,533 | progress   | Finished subset 56/211, 26.54 percent done
INFO     | 2019-02-27 17:12:00,626 | progress   | Finished subset 57/211, 27.01 percent done
INFO     | 2019-02-27 17:12:01,812 | progress   | Finished subset 58/211, 27.49 percent done
INFO     | 2019-02-27 17:12:02,922 | progress   | Finished subset 59/211, 27.96 percent done
INFO     | 2019-02-27 17:12:04,941 | progress   | Finished subset 60/211, 28.44 percent done
INFO     | 2019-02-27 17:12:10,497 | progress   | Finished subset 61/211, 28.91 percent done
INFO     | 2019-02-27 17:12:12,176 | progress   | Finished subset 62/211, 29.38 percent done
INFO     | 2019-02-27 17:12:17,502 | progress   | Finished subset 63/211, 29.86 percent done
INFO     | 2019-02-27 17:12:35,493 | progress   | Finished subset 64/211, 30.33 percent done
INFO     | 2019-02-27 17:12:37,871 | progress   | Finished subset 65/211, 30.81 percent done
INFO     | 2019-02-27 17:12:38,673 | progress   | Finished subset 66/211, 31.28 percent done
INFO     | 2019-02-27 17:12:39,535 | progress   | Finished subset 67/211, 31.75 percent done
INFO     | 2019-02-27 17:12:40,693 | progress   | Finished subset 68/211, 32.23 percent done
INFO     | 2019-02-27 17:12:41,487 | progress   | Finished subset 69/211, 32.70 percent done
INFO     | 2019-02-27 17:12:43,343 | progress   | Finished subset 70/211, 33.18 percent done
INFO     | 2019-02-27 17:12:45,941 | progress   | Finished subset 71/211, 33.65 percent done
INFO     | 2019-02-27 17:12:47,258 | progress   | Finished subset 72/211, 34.12 percent done
INFO     | 2019-02-27 17:12:50,588 | progress   | Finished subset 73/211, 34.60 percent done
INFO     | 2019-02-27 17:13:07,389 | progress   | Finished subset 74/211, 35.07 percent done
